4	2	0
6	2	0
8	3	0
9	2	0
10	2	0
12	3	0
14	2	0
15	2	0
16	4	0
18	3	0
20	3	0
21	2	0
22	2	0
24	4	0
25	2	0
26	2	0
27	3	0
28	3	0
30	3	0
32	5	0
33	2	0
34	2	0
35	2	0
36	4	0
38	2	0
39	2	0
40	4	0
42	3	0
44	3	0
45	3	0
46	2	0
48	5	0
49	2	0
50	3	0
51	2	0
52	3	0
54	4	0
55	2	0
56	4	0
57	2	0
58	2	0
60	4	0
62	2	0
63	3	0
64	6	0
65	2	0
66	3	0
68	3	0
69	2	0
70	3	0
72	5	0
74	2	0
75	3	0
76	3	0
77	2	0
78	3	0
80	5	0
81	4	0
82	2	0
84	4	0
85	2	0
86	2	0
87	2	0
88	4	0
90	4	0
91	2	0
92	3	0
93	2	0
94	2	0
95	2	0
96	6	0
98	3	0
99	3	0
100	4	0
102	3	0
104	4	0
105	3	0
106	2	0
108	5	0
110	3	0
111	2	0
112	5	0
114	3	0
115	2	0
116	3	0
117	3	0
118	2	0
119	2	0
120	5	0
121	2	0
122	2	0
123	2	0
124	3	0
125	3	0
126	4	0
128	7	0
129	2	0
130	3	0
132	4	0
133	2	0
134	2	0
135	4	0
136	4	0
138	3	0
140	4	0
141	2	0
142	2	0
143	2	0
144	6	0
145	2	0
146	2	0
147	3	0
148	3	0
150	4	0
152	4	0
153	3	0
154	3	0
155	2	0
156	4	0
158	2	0
159	2	0
160	6	0
161	2	0
162	5	0
164	3	0
165	3	0
166	2	0
168	5	0
169	2	0
170	3	0
171	3	0
172	3	0
174	3	0
175	3	0
176	5	0
177	2	0
178	2	0
180	5	0
182	3	0
183	2	0
184	4	0
185	2	0
186	3	0
187	2	0
188	3	0
189	4	0
190	3	0
192	7	0
194	2	0
195	3	0
196	4	0
198	4	0
200	5	0
201	2	0
202	2	0
203	2	0
204	4	0
205	2	0
206	2	0
207	3	0
208	5	0
209	2	0
210	4	0
212	3	0
213	2	0
214	2	0
215	2	0
216	6	0
217	2	0
218	2	0
219	2	0
220	4	0
221	2	0
222	3	0
224	6	0
225	4	0
226	2	0
228	4	0
230	3	0
231	3	0
232	4	0
234	4	0
235	2	0
236	3	0
237	2	0
238	3	0
240	6	0
242	3	0
243	5	0
244	3	0
245	3	0
246	3	0
247	2	0
248	4	0
249	2	0
250	4	0
252	5	0
253	2	0
254	2	0
255	3	0
256	8	0
258	3	0
259	2	0
260	4	0
261	3	0
262	2	0
264	5	0
265	2	0
266	3	0
267	2	0
268	3	0
270	5	0
272	5	0
273	3	0
274	2	0
275	3	0
276	4	0
278	2	0
279	3	0
280	5	0
282	3	0
284	3	0
